split,method,seed,rows,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error
combined_hard_shift,temporal_difference_mask,0,42,0.44316,0.29891,0.87640,0.63256,0.93643,0.87466,0.14286,0.28571,0.35768,0.42034
combined_hard_shift,temporal_difference_mask,1,42,0.41540,0.27729,0.84381,0.53234,0.95016,0.74845,0.07143,0.30952,0.35319,0.42117
combined_hard_shift,temporal_difference_mask,2,42,0.44525,0.30326,0.85269,0.57678,0.94303,0.81739,0.07143,0.23810,0.35739,0.40584
combined_hard_shift,temporal_difference_mask,3,42,0.42725,0.28661,0.85706,0.58124,0.94755,0.81346,0.07143,0.38095,0.35745,0.41712
combined_hard_shift,temporal_difference_mask,4,42,0.43893,0.29895,0.84350,0.53955,0.95324,0.73516,0.04762,0.42857,0.35385,0.40635
combined_hard_shift,temporal_difference_mask,5,42,0.43287,0.29450,0.84174,0.53147,0.97031,0.80463,0.14286,0.42857,0.35955,0.41020
combined_hard_shift,temporal_difference_mask,6,42,0.42793,0.28846,0.85593,0.56930,0.98132,0.87936,0.26190,0.33333,0.36622,0.42543
combined_hard_shift,noncausal_flow_transformer_proxy,0,42,0.54675,0.38142,0.98202,0.94626,0.87019,0.81563,0.33333,0.21429,0.19890,0.27889
combined_hard_shift,noncausal_flow_transformer_proxy,1,42,0.55041,0.38351,0.98559,0.95659,0.84851,0.67389,0.23810,0.16667,0.19394,0.28043
combined_hard_shift,noncausal_flow_transformer_proxy,2,42,0.58096,0.41304,0.99003,0.96995,0.81543,0.73793,0.26190,0.23810,0.19306,0.26572
combined_hard_shift,noncausal_flow_transformer_proxy,3,42,0.55812,0.39166,0.98725,0.96278,0.83442,0.74021,0.21429,0.14286,0.19430,0.27519
combined_hard_shift,noncausal_flow_transformer_proxy,4,42,0.57231,0.40596,0.98711,0.96264,0.83953,0.68458,0.23810,0.26190,0.19402,0.26698
combined_hard_shift,noncausal_flow_transformer_proxy,5,42,0.55175,0.38618,0.98183,0.94613,0.89954,0.74550,0.16667,0.45238,0.19903,0.27325
combined_hard_shift,noncausal_flow_transformer_proxy,6,42,0.55319,0.38643,0.98720,0.96225,0.86397,0.81618,0.23810,0.21429,0.19653,0.27771
combined_hard_shift,learned_correlation_classifier,0,42,0.78674,0.67336,0.99238,0.97719,0.31781,0.41397,0.52381,0.16667,0.12796,0.21175
combined_hard_shift,learned_correlation_classifier,1,42,0.75579,0.63921,0.99277,0.97789,0.39051,0.38409,0.45238,0.16667,0.13758,0.23029
combined_hard_shift,learned_correlation_classifier,2,42,0.77760,0.65449,0.99766,0.99263,0.35509,0.41669,0.59524,0.14286,0.13001,0.20689
combined_hard_shift,learned_correlation_classifier,3,42,0.76320,0.63916,0.99487,0.98496,0.36981,0.38797,0.57143,0.19048,0.13324,0.21692
combined_hard_shift,learned_correlation_classifier,4,42,0.76618,0.63807,0.99751,0.99286,0.36807,0.40149,0.47619,0.16667,0.13539,0.21399
combined_hard_shift,learned_correlation_classifier,5,42,0.76062,0.63593,0.99479,0.98460,0.38488,0.39514,0.50000,0.07143,0.13487,0.21409
combined_hard_shift,learned_correlation_classifier,6,42,0.79598,0.68327,0.99490,0.98463,0.31338,0.43189,0.71429,0.11905,0.12500,0.20908
combined_hard_shift,causal_scene_flow_model,0,42,0.76587,0.64952,0.97785,0.93713,0.33703,0.57715,0.50000,0.09524,0.11644,0.20581
combined_hard_shift,causal_scene_flow_model,1,42,0.76348,0.66618,0.96258,0.89928,0.34203,0.63209,0.50000,0.19048,0.11459,0.19048
combined_hard_shift,causal_scene_flow_model,2,42,0.78040,0.66996,0.98257,0.95186,0.33042,0.62902,0.69048,0.09524,0.11055,0.18922
combined_hard_shift,causal_scene_flow_model,3,42,0.76835,0.65379,0.98090,0.94601,0.32674,0.61042,0.61905,0.11905,0.11603,0.19917
combined_hard_shift,causal_scene_flow_model,4,42,0.76517,0.65238,0.96493,0.90149,0.33713,0.72454,0.66667,0.16667,0.11197,0.17851
combined_hard_shift,causal_scene_flow_model,5,42,0.74976,0.62718,0.97218,0.93268,0.36977,0.66058,0.42857,0.09524,0.11992,0.19709
combined_hard_shift,causal_scene_flow_model,6,42,0.73303,0.59864,0.98409,0.96000,0.40318,0.63275,0.54762,0.09524,0.12411,0.21251
combined_hard_shift,oracle_causal_mask,0,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.92857,0.00000,0.00003,0.00259
combined_hard_shift,oracle_causal_mask,1,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.95238,0.02381,0.00003,0.00274
combined_hard_shift,oracle_causal_mask,2,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.83333,0.00000,0.00003,0.00250
combined_hard_shift,oracle_causal_mask,3,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.95238,0.02381,0.00003,0.00263
combined_hard_shift,oracle_causal_mask,4,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.95238,0.04762,0.00003,0.00253
combined_hard_shift,oracle_causal_mask,5,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.90476,0.00000,0.00003,0.00256
combined_hard_shift,oracle_causal_mask,6,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.02381,0.00003,0.00262
occluded_interaction,flow_magnitude_threshold,0,42,0.43773,0.36050,0.56200,0.05676,0.67865,0.70997,0.19048,0.19048,0.20676,0.23262
occluded_interaction,flow_magnitude_threshold,1,42,0.44376,0.36996,0.56226,0.05368,0.66096,0.68633,0.28571,0.16667,0.20346,0.22898
occluded_interaction,flow_magnitude_threshold,2,42,0.44722,0.36976,0.57165,0.06821,0.65043,0.70517,0.30952,0.23810,0.20276,0.23260
occluded_interaction,flow_magnitude_threshold,3,42,0.43874,0.36038,0.56722,0.06267,0.65572,0.69104,0.14286,0.26190,0.20406,0.23641
occluded_interaction,flow_magnitude_threshold,4,42,0.44052,0.36454,0.56204,0.05447,0.65311,0.76340,0.23810,0.28571,0.20268,0.23242
occluded_interaction,flow_magnitude_threshold,5,42,0.44073,0.36294,0.56615,0.05497,0.66869,0.66401,0.16667,0.26190,0.20217,0.23525
occluded_interaction,flow_magnitude_threshold,6,42,0.44454,0.36517,0.57070,0.06705,0.67189,0.69890,0.23810,0.40476,0.20694,0.22801
occluded_interaction,action_direction_projection,0,42,0.72928,0.63009,0.92693,0.84165,0.42278,0.49326,0.66667,0.14286,0.16657,0.25718
occluded_interaction,action_direction_projection,1,42,0.70201,0.59235,0.91998,0.82696,0.50127,0.50314,0.47619,0.28571,0.17357,0.26438
occluded_interaction,action_direction_projection,2,42,0.73060,0.63806,0.91734,0.82020,0.40529,0.47697,0.73810,0.23810,0.16689,0.25858
occluded_interaction,action_direction_projection,3,42,0.69263,0.57507,0.92560,0.84012,0.48692,0.50822,0.54762,0.21429,0.17699,0.27365
occluded_interaction,action_direction_projection,4,42,0.76244,0.67758,0.91643,0.81969,0.32720,0.47045,0.52381,0.11905,0.15595,0.24892
occluded_interaction,action_direction_projection,5,42,0.70461,0.59011,0.92952,0.84626,0.47131,0.49412,0.47619,0.19048,0.17691,0.27428
occluded_interaction,action_direction_projection,6,42,0.71187,0.60371,0.91813,0.82240,0.46644,0.49123,0.64286,0.11905,0.17565,0.26347
occluded_interaction,rigid_scene_flow_cluster,0,42,0.77261,0.63117,1.00000,1.00000,0.39605,0.59166,0.61905,0.09524,0.12488,0.21066
occluded_interaction,rigid_scene_flow_cluster,1,42,0.78847,0.65531,0.99915,0.99817,0.35967,0.56668,0.42857,0.21429,0.12232,0.20754
occluded_interaction,rigid_scene_flow_cluster,2,42,0.77589,0.63611,1.00000,1.00000,0.38236,0.58934,0.59524,0.09524,0.12428,0.21200
occluded_interaction,rigid_scene_flow_cluster,3,42,0.76691,0.62526,1.00000,1.00000,0.39101,0.58136,0.57143,0.21429,0.12447,0.21458
occluded_interaction,rigid_scene_flow_cluster,4,42,0.77583,0.63694,1.00000,1.00000,0.37961,0.60049,0.59524,0.19048,0.12350,0.21137
